"","nazov","price","year","km","kw","kraj","fuel","trans"
"89","Škoda",4499,2010,248000,74,"KE kraj","Diesel","Manuál"
"90","Škoda",4499,2007,248292,77,"KE kraj","Diesel","Manuál"
"91","Škoda",4500,2008,298000,77,"PO kraj","Diesel","Manuál"
"92","Škoda",4500,2007,277345,103,"PO kraj","Diesel","Automat"
"93","Škoda",4500,2007,253456,103,"BA kraj","Diesel","Automat"
"94","Škoda",4500,2008,297000,77,"PO kraj","Diesel","Manuál"
"95","Škoda",4500,2012,275000,77,"TN kraj","Diesel","Manuál"
"96","Škoda",4550,2015,285000,81,"TN kraj","Diesel","Manuál"
"97","Škoda",4590,2012,284000,77,"BB kraj","Diesel","Manuál"
"98","Škoda",4599,2011,390000,118,"KE kraj","Benzín","Automat"
"99","Škoda",4600,2008,321819,103,"BA kraj","Diesel","Manuál"
"100","Škoda",4600,2010,330232,77,"NR kraj","Diesel","Manuál"
"101","Škoda",4600,2008,300904,103,"BB kraj","Diesel","Manuál"
"102","Škoda",4600,2011,281615,77,"BA kraj","Diesel","Manuál"
"103","Škoda",4600,2008,326835,77,"ZA kraj","Diesel","Manuál"
"104","Škoda",4700,2008,246000,77,"NR kraj","Diesel","Manuál"
"105","Škoda",4750,2005,147098,110,"KE kraj","Benzín","Manuál"
"106","Škoda",4750,2005,291000,103,"BB kraj","Diesel","Manuál"
"107","Škoda",4750,2006,261403,77,"NR kraj","Diesel","Automat"
"108","Škoda",4790,2007,196790,77,"BB kraj","Diesel","Automat"
"109","Škoda",4800,2008,293371,100,"BA kraj","Diesel","Manuál"
"110","Škoda",4800,2010,252592,77,"NR kraj","Diesel","Manuál"
"111","Škoda",4800,2008,255649,77,"BA kraj","Diesel","Manuál"
"112","Škoda",4850,2012,210000,77,"NR kraj","Benzín","Manuál"
"113","Škoda",4860,2005,218589,74,"BB kraj","Diesel","Manuál"
"114","Škoda",4900,2011,301500,77,"ZA kraj","Diesel","Manuál"
"115","Škoda",4950,2007,237000,103,"NR kraj","Diesel","Manuál"
"116","Škoda",4990,2010,292000,77,"KE kraj","Diesel","Manuál"
"117","Škoda",4990,2006,3e+05,110,"TN kraj","Diesel","Manuál"
"118","Škoda",4990,2007,204165,103,"ZA kraj","Diesel","Manuál"
"119","Škoda",4990,2007,293930,103,"KE kraj","Diesel","Manuál"
"120","Škoda",4990,2010,295383,77,"KE kraj","Diesel","Automat"
"121","Škoda",4999,2009,323000,103,"BB kraj","Diesel","Manuál"
"122","Škoda",4999,2010,299945,103,"BA kraj","Diesel","Manuál"
"123","Škoda",5000,2008,342926,77,"TT kraj","Diesel","Manuál"
